season,HomeTeam,AwayTeam,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW,HTFormPts,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts,HomeLeaguePosition,AwayLeaguePosition,LeaguePositionDiff,MatchDayDay,MatchDayMonth,MatchDayDate,match_prediction,Home Prediction,Away Prediction,Result Prediction
1995-96,Man City,Leeds,1,3.0,14.0,15.0,12.0,0.1,1.6,L,L,L,W,L,W,L,L,L,L,10.0,0,6,-1.2,0.2,-1.5,-0.6,20,8,12,Saturday,October,21,1,0,0,D
1995-96,Middlesbrough,QPR,0,10.0,9.0,4.0,15.0,1.8,0.9,W,L,W,W,W,L,W,W,D,L,10.0,13,6,0.6,-0.6,0.9,0.7,3,13,-10,Saturday,October,21,0,0,0,D
1995-96,Newcastle,Wimbledon,0,20.0,13.0,6.0,17.0,2.4,1.0,W,L,W,L,W,L,W,L,L,W,10.0,12,3,1.4,-0.4,1.4,0.9,1,11,-10,Saturday,October,21,0,5,0,H
1995-96,Nott'm Forest,Bolton,0,15.0,9.0,9.0,19.0,1.7,0.5,W,D,W,L,D,L,W,L,D,D,10.0,11,2,0.6,-1.0,1.2,0.9,6,19,-13,Saturday,October,21,0,2,1,H
1995-96,West Ham,Blackburn,1,8.0,12.0,11.0,14.0,0.9,1.0,W,W,D,L,W,W,L,L,L,D,10.0,7,7,-0.3,-0.2,-0.1,0.0,14,12,2,Saturday,October,21,1,0,0,D
1995-96,Everton,Tottenham,1,11.0,14.0,14.0,12.0,0.8,1.4,D,L,L,W,L,W,L,W,L,W,10.0,1,12,-0.3,0.2,-0.6,-1.1,16,10,6,Sunday,October,22,1,0,0,D
1995-96,Southampton,Liverpool,2,8.0,15.0,16.0,7.0,0.6,1.7,L,D,D,D,L,W,L,W,D,L,10.0,2,8,-0.8,0.8,-1.1,-0.6,18,7,11,Sunday,October,22,2,0,2,A
1995-96,Aston Villa,Everton,0,12.0,12.0,8.0,15.0,1.5454545454545454,0.8181818181818182,L,D,L,D,W,L,D,L,W,L,11.0,7,2,0.36363636363636365,-0.2727272727272727,0.7272727272727273,0.45454545454545453,8,16,-8,Saturday,October,28,0,1,0,H
1995-96,Blackburn,Chelsea,0,13.0,11.0,15.0,11.0,1.0,1.3636363636363635,D,L,W,W,L,W,W,L,L,W,11.0,7,9,-0.18181818181818182,0.0,-0.36363636363636365,-0.18181818181818182,12,9,3,Saturday,October,28,2,2,0,H
1995-96,Leeds,Coventry,0,14.0,7.0,12.0,18.0,1.5454545454545454,0.6363636363636364,D,L,L,D,W,L,W,L,L,L,11.0,7,1,0.18181818181818182,-1.0,0.9090909090909091,0.5454545454545454,7,17,-10,Saturday,October,28,0,2,0,H
1995-96,Liverpool,Man City,0,18.0,3.0,8.0,15.0,1.8181818181818181,0.18181818181818182,W,D,D,L,D,L,W,L,W,L,11.0,11,1,0.9090909090909091,-1.0909090909090908,1.6363636363636365,0.9090909090909091,6,20,-14,Saturday,October,28,0,5,0,H
1995-96,Man United,Middlesbrough,0,21.0,11.0,11.0,4.0,2.090909090909091,1.9090909090909092,W,W,W,W,D,W,D,W,W,W,11.0,11,15,0.9090909090909091,0.6363636363636364,0.18181818181818182,-0.36363636363636365,2,3,-1,Saturday,October,28,0,2,0,H
